cmc_id,name,current_name,symbol,name_in_coingecko
5268.0,Energy Web Token,Energy Web Token,EWT,Energy Web Token
2044.0,Enigma,Enigma,ENG,Enigma
2130.0,Enjin Coin,Enjin Coin,ENJ,Enjin Coin
1552.0,Enzyme,Enzyme,MLN,Enzyme
5435.0,Epic Cash,Epic Cash,EPIC,Epic Cash
4211.0,Equilibria,Equilibria,XEQ,Equilibria
1762.0,Ergo,Ergo,ERG,Ergo
2906.0,Essentia,Essentia,ESS,Essentia
1474.0,Eternity,Eternity,ENT,Eternity
2843.0,Ether Zero,Ether Zero,ETZ,Ether Zero
3132.0,EtherGem,EtherGem,EGEM,EtherGem
1027.0,Ethereum,Ethereum,ETH,Ethereum
1321.0,Ethereum Classic,Ethereum Classic,ETC,Ethereum Classic
7743.0,Ethereum Yield,Ethereum Yield,ETHY,Ethereum Yield
